user_id,age,steps_per_day,active_minutes,sleep_hours,calories_burned,activity_segment
1,40.0,11524.0,100.7,7.82,2594.2,Highly Active
2,34.0,2363.0,24.0,7.02,1714.8,LIGHT
3,41.0,,79.9,,2202.9,light activity
4,50.0,7875.0,90.5,7.59,2290.2,moderately active
5,33.0,8048.0,69.6,6.64,2238.8,moderately active
6,33.0,8541.0,75.8,6.81,2305.2,Moderate
7,51.0,9831.0,101.1,7.86,2290.1,Moderately Active
8,43.0,7894.0,80.0,9.19,2312.9,Moderate
9,30.0,6896.0,72.9,8.53,2160.5,Moderately Active
10,40.0,6777.0,73.6,5.96,2329.7,Moderately Active
11,30.0,6165.0,59.5,5.96,2213.1,moderately active
12,30.0,10363.0,99.0,6.61,2621.0,HIGHLY ACTIVE
13,37.0,6060.0,62.5,7.31,2010.2,Moderate
14,18.0,10540.0,91.0,7.25,2592.6,HIGHLY ACTIVE
15,18.0,8057.0,79.7,8.56,2292.5,Moderate
16,29.0,6436.0,73.5,8.62,2266.6,Moderate
17,25.0,9855.0,89.5,7.21,2482.2,moderately active
18,38.0,5818.0,59.7,6.95,2155.7,Lightly Active
19,26.0,9915.0,94.3,7.77,2292.7,Moderate
20,21.0,8638.0,79.7,8.37,2422.2,moderately active
21,50.0,6211.0,67.2,7.81,2190.4,moderately active
22,33.0,9586.0,84.4,6.73,2192.4,moderately active
23,36.0,9640.0,101.0,6.53,2379.7,Moderately Active
24,21.0,11473.0,110.6,5.98,2413.2,HIGHLY ACTIVE
25,30.0,10898.0,93.3,7.41,2292.6,HIGHLY ACTIVE
26,36.0,9474.0,102.5,7.89,2538.9,moderately active
27,23.0,4617.0,49.8,8.01,1829.5,light activity
28,39.0,15346.0,132.1,8.47,2660.4,HIGHLY ACTIVE
29,29.0,3789.0,50.4,8.83,2209.5,light activity
30,32.0,10848.0,104.4,5.69,2451.8,highly active
31,29.0,9294.0,73.3,7.65,2390.2,moderately active
32,54.0,4478.0,43.1,7.68,2108.9,Lightly Active
33,35.0,7627.0,75.8,7.12,2339.3,Moderately Active
34,24.0,7764.0,57.4,6.29,2197.0,moderately active
35,43.0,11917.0,110.0,8.79,2571.7,HIGHLY ACTIVE
36,23.0,5860.0,60.1,6.55,2168.6,Lightly Active
37,37.0,7214.0,60.7,4.79,2140.3,Moderate
38,18.0,1000.0,20.5,7.22,1810.4,LIGHT
39,22.0,13204.0,120.1,6.94,2643.5,Highly Active
40,37.0,4789.0,40.4,9.24,1959.5,light activity
41,42.0,8981.0,92.2,7.74,2598.7,Moderately Active
42,37.0,7696.0,80.8,6.86,2212.0,Moderate
43,34.0,7706.0,71.9,6.98,2236.7,Moderate
44,32.0,10430.0,95.3,6.97,2502.3,highly active
45,20.0,13014.0,124.3,9.64,2742.0,Highly Active
46,28.0,8754.0,81.3,7.94,2354.5,Moderate
47,30.0,9965.0,77.6,5.65,2208.8,moderately active
48,46.0,8987.0,88.8,6.93,2379.0,Moderate
49,38.0,11053.0,95.6,7.17,2508.9,HIGHLY ACTIVE
50,18.0,6611.0,62.0,5.98,2282.2,Moderate
51,38.0,11226.0,115.2,5.24,2654.7,HIGHLY ACTIVE
52,31.0,11331.0,103.4,7.86,2668.1,Highly Active
53,28.0,11248.0,103.7,6.31,2400.7,highly active
54,41.0,6020.0,64.2,8.57,2008.3,moderately active
55,45.0,7495.0,76.5,7.21,2282.6,moderately active
56,44.0,8718.0,75.3,6.68,2429.5,Moderately Active
57,27.0,3887.0,41.9,4.54,1918.5,light activity
58,32.0,12785.0,116.8,8.54,2553.8,Highly Active
59,38.0,7963.0,78.5,7.52,2080.3,Moderate
60,45.0,8852.0,86.1,6.71,2386.2,Moderate
61,30.0,6269.0,82.9,6.22,2200.3,Moderate
62,33.0,4019.0,34.1,8.96,1865.1,LIGHT
63,24.0,6188.0,69.4,,2264.7,moderately active
64,23.0,8658.0,91.6,6.79,2345.6,Moderate
65,43.0,10020.0,97.4,7.83,2440.8,highly active
66,49.0,8485.0,75.5,8.8,2391.9,Moderately Active
67,34.0,9040.0,98.7,6.96,2664.3,HIGHLY ACTIVE
68,45.0,6989.0,50.7,6.39,2064.0,moderately active
69,39.0,9489.0,83.6,7.08,2256.3,Moderately Active
70,29.0,12448.0,123.1,8.19,2533.9,highly active
71,39.0,10114.0,91.3,8.44,2477.7,HIGHLY ACTIVE
72,50.0,10429.0,109.7,5.69,2377.1,Highly Active
73,35.0,8882.0,71.9,7.33,2242.6,moderately active
74,51.0,3491.0,30.2,5.62,1843.6,Lightly Active
75,18.0,4866.0,46.3,8.17,2190.9,LIGHT
76,43.0,9365.0,91.4,7.66,2530.1,moderately active
77,36.0,7967.0,74.6,6.19,2072.6,Moderately Active
78,32.0,9320.0,83.7,8.89,2544.5,Moderately Active
79,36.0,13029.0,129.9,7.57,2560.1,highly active
80,18.0,10178.0,106.9,7.45,2505.0,HIGHLY ACTIVE
81,33.0,11777.0,104.8,7.0,2449.1,HIGHLY ACTIVE
82,39.0,8284.0,65.4,7.19,2187.6,moderately active
83,50.0,5578.0,39.2,6.78,1890.3,Lightly Active
84,30.0,7826.0,77.1,6.38,2461.8,Moderate
85,27.0,5586.0,61.8,8.55,2081.7,light activity
86,30.0,12675.0,116.1,6.66,2662.0,HIGHLY ACTIVE
87,44.0,10371.0,95.9,6.62,2321.5,Highly Active
88,38.0,9562.0,83.2,7.06,2193.4,Moderately Active
89,30.0,11708.0,112.8,8.77,2524.8,HIGHLY ACTIVE
90,40.0,1940.0,39.6,8.44,1908.2,LIGHT
91,36.0,9764.0,73.6,6.77,2319.4,moderately active
92,45.0,4068.0,43.3,8.55,2073.1,LIGHT
93,28.0,7978.0,68.7,7.32,2248.8,Moderate
94,32.0,7065.0,57.0,6.27,2146.5,moderately active
95,31.0,9985.0,84.2,6.68,2450.2,Moderate
96,20.0,8685.0,85.4,8.71,2344.5,Moderately Active
97,38.0,12035.0,113.5,9.49,2709.0,Highly Active
98,38.0,6194.0,73.3,7.55,2238.6,Moderate
99,35.0,10127.0,94.5,6.58,2542.9,highly active
100,33.0,8487.0,66.7,7.06,2334.5,Moderately Active
101,21.0,3094.0,33.9,6.36,2038.0,LIGHT
102,31.0,5244.0,42.6,6.52,2105.9,Lightly Active
103,32.0,7550.0,63.3,6.41,2402.5,Moderate
104,27.0,11337.0,109.1,7.11,2481.7,Highly Active
105,33.0,9391.0,89.8,7.33,2482.0,Moderate
106,39.0,4497.0,52.2,7.04,1845.4,LIGHT
107,54.0,7579.0,70.3,6.96,2335.9,Moderate
108,37.0,14053.0,133.4,8.04,2772.9,highly active
109,38.0,8334.0,76.1,6.95,2392.0,moderately active
110,34.0,7018.0,77.4,7.02,2427.0,Moderate
111,18.0,9475.0,91.7,7.01,2489.4,Moderately Active
112,35.0,10290.0,94.1,8.9,2389.9,HIGHLY ACTIVE
